chain_id,chain_name,product_group_ids,default_product_group_id
46354,Есть Бургер,[6],6.0
82638,BarBeCue,"[1, 6, 24]",24.0
56038,2 Берега,"[1, 2, 18, 26]",1.0
150210,Премьера,"[5, 6, 26, 43]",43.0
40986,Rock’n’RollЫ,"[1, 2, 6, 18]",2.0
70006,РИС,"[1, 2, 26, 36]",2.0
127158,Автоfood,"[1, 2, 6, 18]",2.0
109894,MAESTRO,"[1, 2]",2.0
138326,Шаурмовский,"[5, 19, 22, 34]",19.0
130578,ПАЛКИ-СКАЛКИ,"[1, 2, 6, 18]",2.0
127302,Мировая Шаурма,"[19, 29, 32]",19.0
179266,Эко-Пицца,[1],1.0
9510,Пан Пицца,"[1, 2, 23, 27]",1.0
56034,2 Берега,"[1, 2, 18, 26]",1.0
156906,Суши Кайфуши,"[1, 2, 5, 25]",2.0
159730,Anima,"[21, 37]",37.0
52270,РОБИНFOOD,"[1, 2, 20, 40]",20.0
4726,Пицца Парк,"[1, 3, 5, 29, 51]",1.0
163398,Южный Дворик,"[1, 5]",5.0
56026,2 Берега,"[1, 2, 18, 26]",1.0
66538,Korona Sushi,"[1, 2, 18, 26]",2.0
142650,Мангал&Гриль,"[5, 20, 25]",25.0
121570,Алло! Пицца,"[1, 20, 25]",25.0
121650,Центральная пельменная № 1 ПОДБЕЛКА,"[21, 27, 43]",43.0
72454,Мастер Суши,"[1, 2, 20]",2.0
104974,Шашлычный домик,"[5, 26]",5.0
120790,PIZZASUSHIWOK,"[1, 2, 18, 51]",1.0
61098,Burger King,"[6, 26]",6.0
154010,Престо,"[1, 2, 23, 42]",42.0
169038,РУСТЕРС,[1],1.0
100094,BURZHUI,"[1, 2, 6]",1.0
155482,LA LA LAND,"[1, 5, 27, 52]",1.0
161670,агонь бургерс,"[6, 26]",6.0
132578,ЯЕМ,"[1, 2, 24, 27]",2.0
114478,МИГ,"[1, 2, 6, 19]",1.0
133026,Румянцев,"[1, 2, 3]",3.0
178518,Venting Lounge,"[34, 43]",43.0
154170,Pizza&Sushi,"[2, 26]",2.0
112198,Миякэ,"[1, 2]",2.0
130346,Big Bro,"[1, 2, 18, 23]",1.0
166250,American Burger,"[3, 6]",6.0
145430,500 калорий,"[33, 48]",48.0
137998,РЫБУЛЯ,[2],2.0
120430,Румянцев,"[1, 2, 3]",3.0
126698,Жадина-Пицца,"[1, 2, 6, 18]",2.0
62958,Gyros Original,"[1, 29, 32]",32.0
175022,Сытый Лис,"[25, 43]",43.0
41074,Wasabi,"[1, 2, 40]",2.0
106642,ХАЧАПУРИ,"[5, 21, 30]",5.0
163334,Room-cafe,"[2, 24, 27, 40]",40.0
69294,Вилокнет,"[1, 2, 18, 20, 41]",2.0
134474,10 идеальных пицц,[1],1.0
127326,Дядюшка Чао,[39],39.0
107166,Grechka,"[3, 29]",29.0
34722,Чайхона №1 by Timur Lansky,"[2, 5, 22, 44, 51]",44.0
87242,Osaka,"[1, 2, 40]",40.0
178622,Friends&Burgers,[6],6.0
110962,Delmario,"[1, 2, 5, 18, 51]",1.0
179222,Лентяево,[43],43.0
150858,Еда Русская Печка,"[5, 19]",5.0
120886,Шефролл,"[2, 40]",2.0
174178,Хинкали Хаус,[37],37.0
11754,Папа Джонс,"[1, 26, 51]",1.0
141562,Chin-Chin,"[2, 18, 40]",2.0
61234,Pronto,"[1, 2, 23, 40]",1.0
141526,Бульвар,"[3, 5, 25, 33]",33.0
107358,Мексиканец,"[1, 26, 34, 35]",35.0
172942,СУШИ24,"[1, 2, 5, 6]",2.0
7834,Шаурма 24,"[1, 3, 5, 19, 27]",19.0
83870,ТИГРАМБА,"[1, 2, 24, 41]",1.0
157170,KFC,"[6, 26]",6.0
148610,Хинкали Хаус,"[21, 25, 29, 37]",21.0
52942,Шашлык-Машлык,[5],5.0
170274,Хинкали на районе,[37],37.0
80566,БУРГЕР Sheff,"[1, 6, 26, 29]",6.0
168662,Лелея Фрэ,"[1, 23, 34]",1.0
10118,Папа Джонс,"[1, 26]",1.0
54642,Кунг-Фу Панда,"[2, 18, 40]",18.0
8222,Baba Yaga,"[25, 43]",43.0
168598,Найт Китчен,[1],1.0
168526,Subway,"[26, 29]",29.0
170174,Tokyo Street,[40],40.0
122766,KFC,"[6, 26]",6.0
111166,Унга,[24],24.0
148282,PARMI pizza,"[1, 6, 23, 34]",1.0
122466,Italiano,"[1, 42]",1.0
150934,Гараж,[25],25.0
122698,HOUSE,"[5, 26, 37]",26.0
118062,Burger King,"[6, 26]",6.0
173038,Kimono,"[2, 40]",40.0
122330,Макдоналдс,"[6, 26]",6.0
172018,Ретро,"[1, 5, 25]",25.0
112186,БанZZик,"[1, 2, 18]",2.0
147038,Кофебулка,"[1, 6, 26]",26.0
162118,Лелея Фрэ,"[1, 23, 42]",42.0
118562,KFC,"[6, 26]",6.0
136802,ƎCLAIR,"[25, 27, 34, 42]",27.0
30874,Сытый Федот,"[1, 6, 24, 25]",25.0
166594,Lavash,[19],19.0
157366,KFC,"[6, 26]",6.0
171962,ICrab,[20],20.0
122326,Макдоналдс,"[6, 26]",6.0
129298,Burger King,"[6, 26]",6.0
122630,Макдоналдс,"[6, 26]",6.0
121110,СЫТЫЙ SAMURAI,"[2, 40]",2.0
121934,Блинная №1,[43],43.0
44446,Шматик,"[1, 2, 5, 43]",5.0
113062,АРИГАТО,"[2, 18]",2.0
82226,ПАЛКИ-СКАЛКИ,"[1, 2, 26, 40]",2.0
175778,Panasia,[2],2.0
113942,DЯDЯ DЁНЕR,"[19, 28]",19.0
174390,KUSHI-SUSHI,"[2, 18, 40]",2.0
139482,Макдоналдс,"[6, 26]",6.0
109166,Burger King,"[6, 26]",6.0
125494,Siberian Story,"[29, 34, 51]",34.0
39442,LUKIZZO PIZZA,"[1, 2, 24, 25]",1.0
105278,ДАВАЙ СУШИ,"[1, 2, 40, 42]",2.0
172450,Mania bakery,"[24, 30, 34]",34.0
127590,КОФЕБУЛКА,"[27, 30, 34, 51]",30.0
90786,Мир Суши,"[2, 27, 41]",2.0
174194,СОПКА,"[1, 25, 34, 43]",25.0
154070,VOLNA,[25],25.0
19242,Джо-Джо,"[3, 5, 37]",37.0
118222,Burger King,"[6, 26]",6.0
169678,ГРИЛЬ.ТОЧКА,"[6, 19, 28, 35]",19.0
113506,Burger King,"[6, 26]",6.0
124226,Макдоналдс,"[6, 26]",6.0
161326,Bitto Pizza,[1],1.0
124510,Макдоналдс,"[6, 26]",6.0
124518,Макдоналдс,"[6, 26]",6.0
118142,Burger King,"[6, 26]",6.0
144474,ROLLS,"[1, 2, 6, 34]",2.0
154498,Сёгун,"[2, 24, 40]",40.0
